true_parent_lr,unrelated_lr
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.0
7.0,0.6
7.0,0.6
7.0,0.6
7.0,1.0
7.0,3.0
7.0,0.3333333333333333
7.0,0.14285714285714285
7.0,1.0
7.0,1.0
7.0,0.3333333333333333
7.0,1.0
7.0,0.6
7.0,1.0
7.0,0.6
7.0,0.6
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.0
7.0,3.0
7.0,1.0
7.0,0.6
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,1.0
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.0
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,1.0
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,0.6
7.0,1.0
7.0,0.3333333333333333
7.0,0.6
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,1.0
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.6
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,3.0
7.0,0.6
7.0,0.6
7.0,3.0
7.0,0.6
7.0,0.3333333333333333
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,0.6
7.0,0.6
7.0,1.6666666666666667
7.0,0.6
7.0,0.3333333333333333
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,3.0
7.0,1.0
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.0
7.0,0.3333333333333333
7.0,1.0
7.0,1.0
7.0,0.6
7.0,0.6
7.0,0.14285714285714285
7.0,1.0
7.0,0.3333333333333333
7.0,3.0
7.0,0.6
7.0,1.0
7.0,0.6
7.0,1.0
7.0,1.0
7.0,0.6
7.0,0.6
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,0.6
7.0,1.0
7.0,1.0
7.0,1.0
7.0,0.3333333333333333
7.0,1.0
7.0,1.0
7.0,1.0
7.0,0.6
7.0,1.0
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,1.0
7.0,0.6
7.0,0.3333333333333333
7.0,0.6
7.0,0.6
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.6
7.0,0.6
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,1.0
7.0,1.6666666666666667
7.0,0.6
7.0,0.6
7.0,1.0
7.0,0.3333333333333333
7.0,3.0
7.0,0.6
7.0,1.0
7.0,0.6
7.0,1.0
7.0,1.0
7.0,7.0
7.0,1.0
7.0,1.6666666666666667
7.0,3.0
7.0,1.0
7.0,3.0
7.0,1.6666666666666667
7.0,1.0
7.0,3.0
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,0.6
7.0,0.3333333333333333
7.0,3.0
7.0,0.6
7.0,1.6666666666666667
7.0,1.0
7.0,0.6
7.0,0.6
7.0,1.6666666666666667
7.0,0.6
7.0,0.6
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,0.6
7.0,0.6
7.0,1.6666666666666667
7.0,0.6
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,7.0
7.0,1.6666666666666667
7.0,0.6
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.6
7.0,0.3333333333333333
7.0,0.6
7.0,3.0
7.0,1.0
7.0,1.0
7.0,0.6
7.0,1.0
7.0,0.6
7.0,0.6
7.0,0.6
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.0
7.0,1.0
7.0,1.0
7.0,3.0
7.0,1.6666666666666667
7.0,0.6
7.0,0.6
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.6
7.0,0.6
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,1.0
7.0,3.0
7.0,0.6
7.0,0.3333333333333333
7.0,0.6
7.0,1.6666666666666667
7.0,0.6
7.0,0.6
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,3.0
7.0,1.0
7.0,0.6
7.0,3.0
7.0,1.0
7.0,0.6
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.0
7.0,0.6
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,1.0
7.0,0.6
7.0,3.0
7.0,3.0
7.0,0.6
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,0.6
7.0,0.6
7.0,1.0
7.0,1.0
7.0,0.6
7.0,1.0
7.0,0.3333333333333333
7.0,1.0
7.0,1.0
7.0,3.0
7.0,0.3333333333333333
7.0,1.0
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,3.0
7.0,0.14285714285714285
7.0,0.3333333333333333
7.0,1.0
7.0,1.0
7.0,0.6
7.0,0.3333333333333333
7.0,0.6
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,1.0
7.0,7.0
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.14285714285714285
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,3.0
7.0,0.6
7.0,1.0
7.0,0.3333333333333333
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,0.6
7.0,1.0
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.0
7.0,0.6
7.0,0.6
7.0,1.0
7.0,0.6
7.0,3.0
7.0,1.6666666666666667
7.0,0.6
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,1.0
7.0,1.6666666666666667
7.0,1.0
7.0,0.6
7.0,0.6
7.0,1.6666666666666667
7.0,1.0
7.0,1.6666666666666667
7.0,0.6
7.0,1.6666666666666667
7.0,0.6
7.0,0.6
7.0,1.6666666666666667
7.0,1.0
7.0,0.6
7.0,3.0
7.0,0.6
7.0,1.6666666666666667
7.0,0.6
7.0,3.0
7.0,0.6
7.0,3.0
7.0,1.0
7.0,0.3333333333333333
7.0,1.0
7.0,0.6
7.0,1.0
7.0,0.6
7.0,0.3333333333333333
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,1.0
7.0,0.3333333333333333
7.0,7.0
7.0,1.0
7.0,3.0
7.0,1.6666666666666667
7.0,0.6
7.0,0.6
7.0,0.6
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,0.6
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,1.0
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,3.0
7.0,1.0
7.0,0.6
7.0,1.0
7.0,1.0
7.0,0.3333333333333333
7.0,1.0
7.0,0.6
7.0,0.6
7.0,1.0
7.0,1.6666666666666667
7.0,1.0
7.0,1.0
7.0,0.3333333333333333
7.0,1.0
7.0,0.6
7.0,1.6666666666666667
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,1.0
7.0,0.6
7.0,1.0
7.0,0.3333333333333333
7.0,1.0
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.0
7.0,1.0
7.0,0.3333333333333333
7.0,3.0
7.0,0.3333333333333333
7.0,0.6
7.0,1.6666666666666667
7.0,0.6
7.0,0.3333333333333333
7.0,1.0
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,0.6
7.0,3.0
7.0,3.0
7.0,1.0
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,7.0
7.0,0.3333333333333333
7.0,0.6
7.0,3.0
7.0,1.0
7.0,1.0
7.0,0.3333333333333333
7.0,1.0
7.0,0.3333333333333333
7.0,0.6
7.0,0.3333333333333333
7.0,0.14285714285714285
7.0,0.3333333333333333
7.0,1.0
7.0,1.0
7.0,3.0
7.0,3.0
7.0,1.0
7.0,3.0
7.0,0.3333333333333333
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,3.0
7.0,1.6666666666666667
7.0,1.0
7.0,7.0
7.0,1.0
7.0,1.0
7.0,0.6
7.0,1.6666666666666667
7.0,1.0
7.0,1.0
7.0,1.0
7.0,0.6
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,1.0
7.0,1.0
7.0,3.0
7.0,1.6666666666666667
7.0,0.6
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,1.0
7.0,3.0
7.0,0.6
7.0,1.6666666666666667
7.0,1.0
7.0,0.6
7.0,1.0
7.0,1.0
7.0,3.0
7.0,1.0
7.0,0.3333333333333333
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,3.0
7.0,0.3333333333333333
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,1.6666666666666667
7.0,1.0
7.0,3.0
7.0,1.6666666666666667
7.0,1.0
7.0,0.3333333333333333
7.0,0.6
7.0,7.0
7.0,1.0
7.0,0.14285714285714285
7.0,0.6
7.0,1.0
7.0,1.6666666666666667
7.0,1.0
7.0,1.0
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,3.0
7.0,0.14285714285714285
7.0,0.6
7.0,0.6
7.0,1.0
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,1.0
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,3.0
7.0,0.6
7.0,1.0
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,0.14285714285714285
7.0,1.6666666666666667
7.0,1.0
7.0,3.0
7.0,1.6666666666666667
7.0,0.6
7.0,0.6
7.0,0.3333333333333333
7.0,1.0
7.0,0.6
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,1.0
7.0,1.0
7.0,3.0
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,7.0
7.0,0.6
7.0,1.0
7.0,1.0
7.0,0.6
7.0,0.3333333333333333
7.0,0.6
7.0,1.0
7.0,0.6
7.0,0.6
7.0,1.0
7.0,1.0
7.0,0.6
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,3.0
7.0,0.6
7.0,1.6666666666666667
7.0,0.6
7.0,1.6666666666666667
7.0,1.0
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.6
7.0,0.6
7.0,3.0
7.0,1.6666666666666667
7.0,3.0
7.0,0.6
7.0,0.6
7.0,1.0
7.0,3.0
7.0,0.6
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,0.6
7.0,1.6666666666666667
7.0,1.0
7.0,0.3333333333333333
7.0,0.6
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,1.0
7.0,1.0
7.0,0.6
7.0,1.6666666666666667
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,0.3333333333333333
7.0,7.0
7.0,1.0
7.0,1.6666666666666667
7.0,1.0
7.0,0.6
7.0,1.6666666666666667
7.0,1.0
7.0,3.0
7.0,1.0
7.0,0.6
7.0,0.3333333333333333
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,3.0
7.0,0.3333333333333333
7.0,0.6
7.0,0.6
7.0,0.3333333333333333
7.0,1.0
7.0,3.0
7.0,1.6666666666666667
7.0,1.0
7.0,7.0
7.0,0.6
7.0,3.0
7.0,0.3333333333333333
7.0,0.6
7.0,0.6
7.0,1.0
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,1.0
7.0,1.6666666666666667
7.0,1.0
7.0,0.6
7.0,0.3333333333333333
7.0,1.0
7.0,0.3333333333333333
7.0,1.0
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,0.6
7.0,0.6
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.6
7.0,0.3333333333333333
7.0,1.6666666666666667
7.0,3.0
7.0,1.6666666666666667
7.0,0.6
7.0,1.6666666666666667
7.0,0.6
7.0,1.6666666666666667
7.0,1.6666666666666667
7.0,0.14285714285714285
7.0,1.0
7.0,0.14285714285714285
7.0,0.6
7.0,0.3333333333333333
7.0,3.0
7.0,0.6
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,1.0
7.0,1.0
7.0,0.6
7.0,3.0
7.0,1.0
7.0,0.14285714285714285
7.0,1.0
7.0,1.0
7.0,1.6666666666666667
7.0,0.6
7.0,1.0
7.0,0.3333333333333333
7.0,0.6
7.0,1.6666666666666667
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,1.0
7.0,0.3333333333333333
7.0,0.3333333333333333
7.0,0.6
7.0,1.6666666666666667
7.0,0.3333333333333333
7.0,1.6666666666666667
